Matr.Nr.         T1    T2   T1+T2  Normierte Gesamtpunkte = (T1+T2-40)*(100/80)   Note

1426058           0    90    90    63     5
1225302          50    80   130   113     3
1126536          75    80   155   144     2
1425454          85    90   175   169     1
1425873          90    80   170   163     2
1326853         100    95   195   194     1
1426141          50    75   125   106     3
1325957          75    80   155   144     2
1426213          65    80   145   131     2
1326106          45    80   125   106     3
1426191          50    55   105    81     4
1426921          90    80   170   163     2
0500076          90    75   165   156     2
1327270          95    85   180   175     1
1328751          55    75   130   113     3
1325617          95    85   180   175     1
1425435          95    70   165   156     2
1303708          90    95   185   181     1
1426721          75    55   130   113     3
1427513          90    80   170   163     2
1426510          95    80   175   169     1
1426158          95    90   185   181     1
1363880          45    75   120   100     4
0928969           0    60    60    25     5
1228820          40    60   100    75     4
1209954          90    70   160   150     2
1426378          95    85   180   175     1
1427745          95    90   185   181     1
1426741          65    80   145   131     2
1326646          55    85   140   125     3
1426804          75    75   150   138     2
1427048          95    75   170   163     2
1008804          90    75   165   156     2
1425818          95    85   180   175     1
1425593          85    65   150   138     2
1228341          90    80   170   163     2
1225691          50    50   100    75     4
0926283          35    30    65    31     5
1425481          80    55   135   119     3
1425600          90    90   180   175     1
1425904          95    90   185   181     1
1425879          90     0    90    63     5
1425794          55    80   135   119     3
1425014          90   100   190   188     1
1227672          80    90   170   163     2
1427515          70    70   140   125     3
1426885          65    65   130   113     3
1425671          75    95   170   163     2
1425179          90    85   175   169     1
1427012          90    90   180   175     1
9912499          95    70   165   156     2
1328964          90    85   175   169     1
1528244          55     0    55    19     5
1029654          45    75   120   100     4
1427143          95    85   180   175     1
1227245          85    65   150   138     2
1426613          65    80   145   131     2
1425322          65    75   140   125     3
1426476          55    70   125   106     3
1026805          95    80   175   169     1
1425773          95    80   175   169     1
1300566          60    70   130   113     3
1525215          90    90   180   175     1
1225519          65    70   135   119     3
1327135          85    75   160   150     2
1426733          95    75   170   163     2
1426503          95    90   185   181     1
1427275          85    75   160   150     2
1326376          60    65   125   106     3
1225448          90   100   190   188     1
1528116          80    80   160   150     2
1326798          60    70   130   113     3
1425090          75   100   175   169     1
1425971          95    90   185   181     1
1428146          70    75   145   131     2
1427287          60    70   130   113     3
1425938          95    90   185   181     1
1425573          75    80   155   144     2
1427104          85    90   175   169     1
1440127          90    65   155   144     2
1425354          70    70   140   125     3
1425976          90    95   185   181     1
1306947          80    90   170   163     2
1426110          90    80   170   163     2
1408919          70    75   145   131     2
1129566          90    90   180   175     1
1227387          90    65   155   144     2
1425755          35    85   120   100     4
1329057          95    75   170   163     2
9425648          95    95   190   188     1
1428291          65    90   155   144     2
1426580          95    75   170   163     2
1426262          85    70   155   144     2
1426007          85    70   155   144     2
1427209          50     0    50    13     5
1373167          85    95   180   175     1
1227099          95    70   165   156     2
1425266          95     0    95    69     5
1426401          95    95   190   188     1
1055070          90    80   170   163     2
1428001          80    80   160   150     2
1426303          60    60   120   100     4
1426473          75    80   155   144     2
1008192          15     0    15   -31     5
1426979          75    60   135   119     3
1428147          95    85   180   175     1
1027975          55    55   110    88     4
1328234          95    85   180   175     1
1425736          65    80   145   131     2
1125926          85    65   150   138     2
1126748          25     0    25   -19     5
1427256          95    90   185   181     1
1326404          35    65   100    75     4
1025127          50     0    50    13     5
1425592         100    70   170   163     2
1425361          95    70   165   156     2
1425617          95    85   180   175     1
1327477          80    75   155   144     2
1426198          95    95   190   188     1
1042238          60    70   130   113     3
1427692          80    70   150   138     2
1328260          90    65   155   144     2
1411782          50    80   130   113     3
1325564          70    75   145   131     2
0026696          85    80   165   156     2
1427641          90    85   175   169     1
1426567          55    75   130   113     3
1426350          80    90   170   163     2
1427995          70    80   150   138     2
1425646          95    85   180   175     1
1426920          95    95   190   188     1
1427621          55    70   125   106     3
1327040          80    75   155   144     2
1425259          80    75   155   144     2
1329231          80    90   170   163     2
1125611          70    70   140   125     3
1425764          85    40   125   106     3
1426875          95    80   175   169     1
1425025          90    75   165   156     2
1326317          85    70   155   144     2
1128863          40    50    90    63     5
1425839          95    95   190   188     1
1329210          80    95   175   169     1
8725754          80    80   160   150     2
1425920          90    65   155   144     2
1427399          95    95   190   188     1
1225604          95    95   190   188     1
1225974          70    80   150   138     2
1328786          95    90   185   181     1
1025985          75    60   135   119     3
1427655          80    50   130   113     3
1425902          70    90   160   150     2
1426914          80    60   140   125     3
1427327          90    80   170   163     2
1328981          55    70   125   106     3
0702395          45    70   115    94     4
1325468          85    80   165   156     2
1429176          65    75   140   125     3
1024136          35     0    35    -6     5
1425950          90    80   170   163     2
1329434          70    75   145   131     2
1328359          80    85   165   156     2
1229225          40    65   105    81     4
1425509          95    95   190   188     1
1406873          95    70   165   156     2
1425167          95    75   170   163     2
1328816         100    75   175   169     1
1327673          95    70   165   156     2
8025890          90    55   145   131     2
1425054          95    85   180   175     1
0958309          45    80   125   106     3
1426990          95    80   175   169     1
1325610           0    65    65    31     5
1426182          95    75   170   163     2
1425291          40    70   110    88     4
1327590          80    85   165   156     2
1425725          85    75   160   150     2
1427149          85     0    85    56     5
1425803          50     0    50    13     5
1425182          70     0    70    38     5
0826334          95    90   185   181     1
1125645          90    80   170   163     2
0827507          75    90   165   156     2
1426742          95    95   190   188     1
1326965          60    70   130   113     3
1426572          80    70   150   138     2
1327471          85    85   170   163     2
1426658          75    75   150   138     2
1427932          90    70   160   150     2


Notenschema:

Für eine positive Beurteilung müssen pro Test mindestens 21 Punkte erzielt worden sein.
Insgesamt müssen in beiden Tests mindestens 71 "Normierte Gesamtpunkte" erzielt worden sein.

71-100 Punkte: genügend;
101-130 Punkte:befriedigend;
131-165 Punkte: gut;
166-200 Punkte: sehr gut.

Nachtest:

Tag     Zeit    Datum   Ort     Modus   Anmeldefrist    Anmeldung       Prüfung
Fr      16:00 - 18:00   11.03.2016      FH Hörsaal 6    nicht erforderlich      Nachtest

22. Jänner 2015
Karl Svozil
